Count,Date,BTC / USDT price,Token name,24h price change %,Trade,Trade price,Comission,Profit %,Profit total %
1,2023-21-5 21:38:55,22376.03,PERL,-7.165,BUY,0.0294,0.0003,-0.01,-0.01
2,2023-21-5 21:39:29,22380.72,,-8.237,,,0,0,-0.01
3,2023-21-5 21:40:04,22376.66,,-7.649,,,0,0,-0.01
4,2023-21-5 21:40:40,22383.09,,-7.04,,,0,0,-0.01
5,2023-21-5 21:41:15,22391.79,,-8.279,,,0,0,-0.01
